species	read_count_below_10	RPMM_below_300
NC_013790.1_Methanobrevibacter_ruminantium_M1__complete_sequence	yes	yes
NC_013407.1_Methanocaldococcus_vulcanius_M7__complete_sequence	yes	yes
NC_013741.1_Archaeoglobus_profundus_DSM_5631__complete_sequence	yes	yes
NC_014253.1_Methanohalobium_evestigatum_Z_7303__complete_genome	yes	yes
NC_015151.1_Vulcanisaeta_moutnovskia_768_28__complete_sequence	yes	yes
NC_015216.1_Methanobacterium_lacus__complete_sequence	yes	yes
NC_015315.1_Thermoproteus_uzoniensis_768_20__complete_sequence	yes	yes
NC_015320.1_Archaeoglobus_veneficus_SNP6__complete_genome	yes	yes
NC_007355.1_Methanosarcina_barkeri_str._Fusaro__complete_genome	yes	yes
NC_002578.1_Thermoplasma_acidophilum_DSM_1728__complete_genome	yes	yes
NC_000868.1_Pyrococcus_abyssi_GE5__complete_genome	yes	yes
NC_014297.1_Halalkalicoccus_jeotgali_B3__complete_sequence	yes	yes
NC_015636.1_Methanothermococcus_okinawensis_IH1__complete_genome	yes	yes
NC_015416.1_Methanothrix_soehngenii_GP6__complete_sequence	yes	yes
NC_015435.1_Metallosphaera_cuprina_Ar_4__complete_sequence	yes	yes
NC_015518.1_Acidianus_hospitalis_W1__complete_sequence	yes	yes
NC_015562.1_Methanotorris_igneus_Kol_5__complete_sequence	yes	yes
NC_015574.1_Methanobacterium_paludis__complete_sequence	yes	yes
NC_015680.1_Pyrococcus_yayanosii_CH1__complete_sequence	yes	yes
NC_015666.1_Halopiger_xanaduensis_SH_6__complete_sequence	yes	yes
NC_014961.1_Desulfurococcus_mucosus_DSM_2162__complete_sequence	yes	yes
NC_014729.1_Halogeometricum_borinquense_DSM_11551__complete_sequence	yes	yes
NC_013743.1_Haloterrigena_turkmenica_DSM_5511__complete_sequence	yes	yes
NC_000909.1_Methanocaldococcus_jannaschii_DSM_2661__complete_sequence	yes	yes
NC_013849.1_Ferroglobus_placidus_DSM_10642__complete_sequence	yes	yes
NC_013922.1_Natrialba_magadii_ATCC_43099__complete_sequence	yes	yes
NC_013926.1_Aciduliprofundum_boonei_T469__complete_genome	yes	yes
NC_013967.1_Haloferax_volcanii_DS2__complete_sequence	yes	yes
NC_014002.1_Methanohalophilus_mahii_DSM_5219__complete_sequence	yes	yes
NC_007426.1_Natronomonas_pharaonis_DSM_2160__complete_genome	yes	yes
NC_009464.1_Methanocella_arvoryzae_MRE50__complete_genome	yes	yes
NC_014160.1_Thermosphaera_aggregans_DSM_11486__complete_sequence	yes	yes
NC_014658.1_Methanothermus_fervidus_DSM_2088__complete_sequence	yes	yes
NC_014122.1_Methanocaldococcus_infernus_ME__complete_genome	yes	yes
NC_014205.1_Staphylothermus_hellenicus_DSM_12710__complete_sequence	yes	yes
NC_014374.1_Acidilobus_saccharovorans_345_15__complete_sequence	yes	yes
NC_014408.1_Methanothermobacter_marburgensis_str._Marburg__complete_sequence	yes	yes
NC_014507.1_Methanolacinia_petrolearia_DSM_11571__complete_sequence	yes	yes
NC_014537.1_Vulcanisaeta_distributa_DSM_14429__complete_sequence	yes	yes
NC_021592.1_Ferroplasma_acidarmanus_fer1__complete_sequence	yes	yes
NC_013665.1_Methanocella_paludicola_SANAE__complete_genome	yes	yes
NC_008212.1_Haloquadratum_walsbyi_DSM_16790__complete_genome	yes	yes
1_CP024091_1_Pedobacter_ginsengisoli_strain_T01R_27_chromosome__complete_genome_BAC	yes	yes
NC_000917.1_Archaeoglobus_fulgidus_DSM_4304__complete_sequence	yes	yes
CH476611_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_32905_SO_supercontig	yes	yes
CH476612_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_32146_SO_supercontig	yes	yes
CH476613_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_29485_SO_supercontig	yes	yes
CH476614_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_21057_SO_supercontig	yes	yes
CH981535_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_29506_SO_supercontig	yes	yes
CH981536_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_28116_SO_supercontig	yes	yes
CH981537_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_21829_SO_supercontig	yes	yes
CH981538_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_13141_SO_supercontig	yes	yes
CH981539_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_12095_SO_supercontig	yes	yes
Chr1_A_fumigatus_Af293_organism_Aspergillus_fumigatus_Af293_version_2015_09_27_length_4918979_SO_chromosome	yes	yes
Chr2_A_fumigatus_Af293_organism_Aspergillus_fumigatus_Af293_version_2015_09_27_length_4844372_SO_chromosome	yes	yes
Chr3_A_fumigatus_Af293_organism_Aspergillus_fumigatus_Af293_version_2015_09_27_length_4079167_SO_chromosome	yes	yes
Chr4_A_fumigatus_Af293_organism_Aspergillus_fumigatus_Af293_version_2015_09_27_length_3927224_SO_chromosome	yes	yes
Chr5_A_fumigatus_Af293_organism_Aspergillus_fumigatus_Af293_version_2015_09_27_length_3948441_SO_chromosome	yes	yes
Chr6_A_fumigatus_Af293_organism_Aspergillus_fumigatus_Af293_version_2015_09_27_length_3778736_SO_chromosome	yes	yes
Chr7_A_fumigatus_Af293_organism_Aspergillus_fumigatus_Af293_version_2015_09_27_length_2058334_SO_chromosome	yes	yes
Chr8_A_fumigatus_Af293_organism_Aspergillus_fumigatus_Af293_version_2015_09_27_length_1833124_SO_chromosome	yes	yes
CH476610_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_525030_SO_supercontig	yes	yes
CH476609_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_778656_SO_supercontig	yes	yes
CH476608_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1314789_SO_supercontig	yes	yes
CH476598_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1970408_SO_supercontig	yes	yes
Ca22chr6A_C_albicans_SC5314_organism_Candida_albicans_SC5314_version_A22_s07_m01_r59_length_1033292_SO_chromosome	yes	yes
Ca22chr7A_C_albicans_SC5314_organism_Candida_albicans_SC5314_version_A22_s07_m01_r59_length_949580_SO_chromosome	yes	yes
Ca22chrRA_C_albicans_SC5314_organism_Candida_albicans_SC5314_version_A22_s07_m01_r59_length_2286237_SO_chromosome	yes	yes
CH476594_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_2751824_SO_supercontig	yes	yes
CH476595_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_2563198_SO_supercontig	yes	yes
CH476596_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_2486407_SO_supercontig	yes	yes
CH476597_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_2214963_SO_supercontig	yes	yes
CH476599_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1921322_SO_supercontig	yes	yes
CH476607_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1353958_SO_supercontig	yes	yes
CH476600_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1912493_SO_supercontig	yes	yes
CH476601_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1704888_SO_supercontig	yes	yes
CH476602_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1632022_SO_supercontig	yes	yes
CH476603_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1587754_SO_supercontig	yes	yes
CH476604_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1534813_SO_supercontig	yes	yes
CH476605_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1435188_SO_supercontig	yes	yes
CH476606_organism_Aspergillus_terreus_NIH2624_version_2015_03_23_length_1423202_SO_supercontig	yes	yes
ChrI_A_nidulans_FGSC_A4_organism_Aspergillus_nidulans_FGSC_A4_version_2015_10_04_length_3759208_SO_chromosome	yes	yes
ChrIII_A_nidulans_FGSC_A4_organism_Aspergillus_nidulans_FGSC_A4_version_2015_10_04_length_3470897_SO_chromosome	yes	yes
ChrIV_A_nidulans_FGSC_A4_organism_Aspergillus_nidulans_FGSC_A4_version_2015_10_04_length_2887738_SO_chromosome	yes	yes
NC_002607.1_Halobacterium_salinarum_NRC_1__complete_sequence	yes	yes
GG692412_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_8448_SO_supercontig	yes	yes
GG692413_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_7285_SO_supercontig	yes	yes
GG692414_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_6389_SO_supercontig	yes	yes
GG692415_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_6342_SO_supercontig	yes	yes
GG692416_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_5408_SO_supercontig	yes	yes
GG692417_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_4896_SO_supercontig	yes	yes
NC_014222.1_Methanococcus_voltae_A3__complete_genome	yes	yes
NC_002754.1_Saccharolobus_solfataricus_P2__complete_sequence	yes	yes
GG692410_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_11104_SO_supercontig	yes	yes
NC_003901.1_Methanosarcina_mazei_Go1__complete_sequence	yes	yes
NC_003551.1_Methanopyrus_kandleri_AV19__complete_sequence	yes	yes
NC_003364.1_Pyrobaculum_aerophilum_str._IM2__complete_sequence	yes	yes
NC_003413.1_Pyrococcus_furiosus_DSM_3638__complete_sequence	yes	yes
NC_003552.1_Methanosarcina_acetivorans_C2A__complete_sequence	yes	yes
NC_005877.1_Picrophilus_torridus_DSM_9790__complete_genome	yes	yes
NC_000916.1_Methanothermobacter_thermautotrophicus_str._Delta_H__complete_sequence	yes	yes
GG692411_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_8471_SO_supercontig	yes	yes
GG692409_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_11214_SO_supercontig	yes	yes
ChrV_A_nidulans_FGSC_A4_organism_Aspergillus_nidulans_FGSC_A4_version_2015_10_04_length_3403833_SO_chromosome	yes	yes
GG692399_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_1368217_SO_supercontig	yes	yes
ChrVI_A_nidulans_FGSC_A4_organism_Aspergillus_nidulans_FGSC_A4_version_2015_10_04_length_3407944_SO_chromosome	yes	yes
ChrVII_A_nidulans_FGSC_A4_organism_Aspergillus_nidulans_FGSC_A4_version_2015_10_04_length_4550218_SO_chromosome	yes	yes
ChrVIII_A_nidulans_FGSC_A4_organism_Aspergillus_nidulans_FGSC_A4_version_2015_10_04_length_4934093_SO_chromosome	yes	yes
GG692395_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_2474448_SO_supercontig	yes	yes
GG692396_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_2308670_SO_supercontig	yes	yes
GG692397_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_2216334_SO_supercontig	yes	yes
GG692398_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_1654078_SO_supercontig	yes	yes
GG692400_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_1255791_SO_supercontig	yes	yes
GG692408_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_12816_SO_supercontig	yes	yes
GG692401_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_920995_SO_supercontig	yes	yes
GG692402_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_802573_SO_supercontig	yes	yes
GG692403_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_498422_SO_supercontig	yes	yes
GG692404_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_430102_SO_supercontig	yes	yes
GG692405_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_419327_SO_supercontig	yes	yes
GG692406_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_125861_SO_supercontig	yes	yes
GG692407_organism_Candida_tropicalis_MYA_3404_version_2015_03_12_length_22644_SO_supercontig	yes	yes
NC_015676.1_Methanosalsum_zhilinae_DSM_4017__complete_sequence	yes	yes
NC_015931.1_Pyrolobus_fumarii_1A__complete_sequence	yes	yes
NC_015948.1_Haloarcula_hispanica_ATCC_33960_chromosome_I__complete_sequence	yes	yes
NC_015954.1_Halophilic_archaeon_DL31__complete_sequence	yes	yes
NZ_CP048032.1_Haloarchaeon_3A1_DGR_strain_3A1_DGR_chromosome__complete_genome	yes	yes
NZ_CP048738.1_Haloferax_alexandrinus_strain_wsp1_chromosome__complete_genome	yes	yes
NZ_CP050695.1_Natrialbaceae_archaeon_XQ_INN_246_strain_2447_chromosome__complete_genome	yes	yes
NZ_AP018732.1_Conexivisphaera_calidus_strain_NAS_02	yes	yes
NZ_CP046106.1_Nanohaloarchaea_archaeon_strain_M3_22_chromosome__complete_genome	yes	yes
NZ_CP049074.1_Metallosphaera_tengchongensis_strain_Ric_A_chromosome__complete_genome	yes	yes
NZ_CP058215.1_Methanolobus_zinderi_strain_DSM_21339_chromosome__complete_genome	yes	yes
NZ_CP026993.1_Nitrosopumilus_cobalaminigenes_strain_HCA1_chromosome__complete_genome	yes	yes
NZ_CP026994.1_Nitrosopumilus_oxyclinae_strain_HCE1_chromosome__complete_genome	yes	yes
NZ_CP026995.1_Nitrosopumilus_ureiphilus_strain_PS0_chromosome__complete_genome	yes	yes
NZ_CP058910.1_Halosimplex_rubrum_strain_R27_chromosome__complete_genome	yes	yes
NZ_CP058909.1_Halosimplex_pelagicum_strain_R2_chromosome__complete_genome	yes	yes
NZ_LT671858.1_Cuniculiplasma_divulgatum_strain_S5_T____JCM_30642_chromosome_I	yes	yes
NZ_LT607756.1_Methanobacterium_congolense_isolate_Buetzberg_chromosome_I	yes	yes
NZ_LT608329.1_Methanothermobacter_wolfeii_isolate_SIV6_genome_assembly__chromosome:_I	yes	yes
NC_006273.2_Human_herpesvirus_5_strain_Merlin__complete_genome	yes	yes
NC_001664.4_Human_betaherpesvirus_6A__variant_A_DNA__complete_virion_genome__isolate_U1102	yes	yes
NZ_CP047880.1_Methanomassiliicoccaceae_archaeon_DOK_chromosome__complete_genome	yes	yes
NZ_CP046866.1_Halobacteriaceae_archaeon_HD8_45_chromosome__complete_genome	yes	yes
NZ_CP034345.1_Haloplanus_rallus_strain_MBLA0036_chromosome__complete_genome	yes	yes
NZ_CP031311.1_Halobellus_limi_strain_CGMCC_1.10331_chromosome__complete_genome	yes	yes
NZ_CP031148.1_Haloplanus_rubicundus_strain_CBA1112_chromosome__complete_genome	yes	yes
NZ_CP027033.1_Natrarchaeobaculum_sulfurireducens_strain_AArc_Mg_chromosome__complete_genome	yes	yes
NZ_CP034145.1_Haloplanus_aerogenes_strain_JCM_16430_chromosome__complete_genome	yes	yes
NZ_AP018553.1_Sulfodiicoccus_acidiphilus_strain_HS_1	yes	yes
NZ_CP034940.1_Halorubrum_ezzemoulense_strain_Fb21_chromosome__complete_genome	yes	yes
NZ_CP031305.1_Natronorubrum_bangense_strain_JCM_10635_chromosome__complete_genome	yes	yes
NZ_CP031310.1_Halapricum_salinum_strain_CBA1105_chromosome__complete_genome	yes	yes
NZ_CP040330.1_Natrinema_versiforme_strain_BOL5_4_chromosome__complete_genome	yes	yes
NZ_CP045484.1_Sulfurisphaera_ohwakuensis_strain_TA_1_chromosome__complete_genome	yes	yes
NZ_CP040637.1_Natrinema_pallidum_strain_BOL6_1_chromosome__complete_genome	yes	yes
NZ_CP040678.1_Halostella_pelagica_strain_DL_M4_chromosome__complete_genome	yes	yes
NZ_AP018930.1_Sulfuracidifex_tepidarius_strain_IC_007	yes	yes
NZ_CP045488.1_Natronorubrum_aibiense_strain_7_3_chromosome__complete_genome	yes	yes
NZ_CP040089.1_DPANN_group_archaeon_LC1Nh_chromosome__complete_genome	yes	yes
NZ_CP045482.1_Acidianus_ambivalens_strain_LEI_10_chromosome__complete_genome	yes	yes
NZ_CP045483.1_Stygiolobus_azoricus_strain_FC6_chromosome__complete_genome	yes	yes
NC_000898.1_Human_herpesvirus_6B__complete_genome	yes	yes
NC_001716.2_Human_herpesvirus_7__complete_genome	yes	yes
NC_003461.1_Human_parainfluenza_virus_1__complete_genome	yes	yes
NC_006577.2_Human_coronavirus_HKU1_complete_genome	yes	yes
NC_002204.1_Influenza_B_virus_RNA_1__complete_sequence	yes	yes
NC_005222.1_Hantaan_virus_segment_L__complete_genome	yes	yes
NC_006307.2_Influenza_C_virus__C_Ann_Arbor_1_50_	yes	yes
NC_007373.1_Influenza_A_virus__A_New_York_392_2004_H3N2__	yes	yes
NC_002023.1_Influenza_A_virus__A_Puerto_Rico_8_1934_H1N1__	yes	yes
NC_002645.1_Human_coronavirus_229E_complete_genome	yes	yes
NC_005831.2_Human_Coronavirus_NL63_complete_genome	yes	yes
NC_009996.1_Human_rhinovirus_C_complete_genome	yes	yes
NC_006213.1_Human_coronavirus_OC43_strain_ATCC_VR_759__complete_genome	yes	yes
NC_038311.1_Human_rhinovirus_1_strain_ATCC_VR_1559_complete_genome	yes	yes
NC_038312.1_Human_rhinovirus_3_complete_genome	yes	yes
NC_006213.1_Human_coronavirus_OC43_strain_ATCC_VR_759_complete_genome	yes	yes
NZ_CP031251.1_Neisseria_subflava_strain_M18660_chromosome__complete_genome	yes	yes
NZ_LS483369.1_Neisseria_cinerea_strain_NCTC10294_chromosome_1	yes	yes
NZ_CP053988.1_Abiotrophia_defectiva_strain_FDAARGOS_785_chromosome__complete_genome	yes	yes
NZ_LR214940.1_Mycoplasma_orale_strain_NCTC10112_chromosome_1	yes	yes
NC_045512.2_Severe_acute_respiratory_syndrome_coronavirus_2_isolate_Wuhan_Hu_1__complete_genome	yes	yes
NC_038311.1_Human_rhinovirus_1_strain_ATCC_VR_1559__complete_genome	yes	yes
NC_001796.2_Human_parainfluenza_virus_3__complete_genome	yes	yes
NC_006577.2_Human_coronavirus_HKU1__complete_genome	yes	yes
NC_002645.1_Human_coronavirus_229E__complete_genome	yes	yes
NC_005831.2_Human_Coronavirus_NL63__complete_genome	yes	yes
NC_001498.1_Measles_virus__complete_genome	yes	yes
NC_001803.1_Respiratory_syncytial_virus__complete_genome	yes	yes
NC_002200.1_Mumps_virus__complete_genome	yes	yes
NC_001348.1_Human_herpesvirus_3__complete_genome	yes	yes
NC_001798.2_Human_herpesvirus_2_strain_HG52__complete_genome	yes	yes
NC_001806.2_Human_herpesvirus_1_strain_17__complete_genome	yes	yes
NC_039199.1_Human_metapneumovirus_isolate_00_1__complete_genome	yes	yes
NC_001897.1_Human_parechovirus__genome	yes	yes
NC_001612.1_Human_enterovirus_A__complete_genome	yes	yes
NC_004718.3_SARS_coronavirus_Tor2__complete_genome	yes	yes
NC_012042.1_Human_bocavirus_2c_PK_isolate_PK_5510__complete_genome	yes	yes
NC_019843.3_Middle_East_respiratory_syndrome_related_coronavirus_isolate_HCoV_EMC_2012__complete_genome	yes	yes
NC_021928.1_Human_parainfluenza_virus_4a_viral_cRNA__complete_genome__strain_M_25	yes	yes
NC_007605.1_Human_gammaherpesvirus_4__complete_genome	yes	yes
NZ_CP029289.2_Acidianus_brierleyi_strain_DSM_1651_chromosome__complete_genome	yes	yes
NZ_CP029288.2_Acidianus_sulfidivorans_JP7_chromosome__complete_genome	yes	yes
NZ_CP029287.2_Metallosphaera_hakonensis_JCM_8857___DSM_7519_strain_HO1_1_chromosome__complete_genome	yes	yes
NZ_CP006019.1_Palaeococcus_pacificus_DY20341_chromosome__complete_genome	yes	yes
NC_022093.1_Thermofilum_adornatum__complete_sequence	yes	yes
NC_021921.1_Halorhabdus_tiamatea_SARL4B__complete_genome	yes	yes
NZ_CP006965.1_Thermococcus_paralvinellae_strain_ES1_chromosome__complete_genome	yes	yes
NZ_CP007264.1_Thermococcus_nautili_strain_30_1_chromosome__complete_genome	yes	yes
NC_022521.1_Aeropyrum_camini_SY1___JCM_12091__complete_genome	yes	yes
NC_020388.1_Natronomonas_moolapensis_8.8.11__complete_genome	yes	yes
NZ_CP007536.1_Nitrososphaera_viennensis_EN76_chromosome__complete_genome	yes	yes
NZ_CP009149.1_Methanocaldococcus_bathoardescens_strain_JH146_chromosome__complete_genome	yes	yes
NC_020892.1_Thermoplasmatales_archaeon_BRNA1__complete_genome	yes	yes
NZ_CP006933.1_Methanobacterium_formicicum_strain_BRM9__complete_genome	yes	yes
NZ_CP008887.1_Thermococcus_eurythermalis_strain_A501_chromosome__complete_genome	yes	yes
NZ_CP009552.1_Geoglobus_acetivorans_strain_SBH6_chromosome__complete_genome	yes	yes
NZ_CP007493.1_Thermofilum_adornatus_1505_chromosome__complete_genome	yes	yes
NZ_CP007140.1_Thermococcus_guaymasensis_DSM_11113_chromosome__complete_genome	yes	yes
NZ_CP010868.1_Nitrosopumilus_piranensis_strain_D3C_chromosome__complete_genome	yes	yes
NZ_CP011070.1_Nitrosopumilus_adriaticus_strain_NF5_chromosome__complete_genome	yes	yes
NC_021169.1_Archaeoglobus_sulfaticallidus_PM70_1__complete_sequence	yes	yes
NC_019974.1_Natronococcus_occultus_SP4__complete_sequence	yes	yes
NZ_CP009520.1_Methanosarcina_vacuolata_Z_761__complete_genome	yes	yes
NC_016070.1_Thermoproteus_tenax_Kra_1__complete_genome	yes	yes
NZ_CP019285.1_Halobiforma_lacisalsi_AJ5_chromosome__complete_genome	yes	yes
NC_019792.1_Natronobacterium_gregoryi_SP2__complete_sequence	yes	yes
NC_019962.1_Natrinema_pellirubrum_DSM_15624__complete_sequence	yes	yes
NC_016645.1_Pyrobaculum_ferrireducens__complete_sequence	yes	yes
NC_017527.1_Methanosaeta_harundinacea_6Ac__complete_sequence	yes	yes
NC_022084.1_Thermococcus_litoralis_DSM_5473__complete_sequence	yes	yes
NC_017034.1_Methanocella_conradii_HZ254__complete_sequence	yes	yes
NC_017461.1_Fervidicoccus_fontis_Kam940__complete_sequence	yes	yes
NC_019977.1_Methanomethylovorans_hollandica_DSM_15978__complete_sequence	yes	yes
NC_017954.1_Thermogladius_calderae_1633__complete_sequence	yes	yes
NC_018015.1_Thermococcus_cleftensis__complete_sequence	yes	yes
NC_018227.2_Methanoculleus_bourgensis_MS2__complete_genome	yes	yes
NC_017941.2_Haloferax_mediterranei_ATCC_33500__complete_sequence	yes	yes
NC_019791.1_Caldisphaera_lagunensis_DSM_15908__complete_sequence	yes	yes
NC_019943.1_Methanoregula_formicica_SMSP__complete_sequence	yes	yes
NC_019964.1_Halovivax_ruber_XH_70__complete_sequence	yes	yes
NZ_CP009501.1_Methanosarcina_thermophila_TM_1__complete_genome	yes	yes
NZ_CP009506.1_Methanosarcina_siciliae_T4_M__complete_genome	yes	yes
NZ_CP028858.1_Haloarculaceae_archaeon_HArcel1_strain_HArcel1T_chromosome__complete_genome	yes	yes
NZ_CP015106.1_Thermococcus_radiotolerans_strain_EJ2__complete_genome	yes	yes
NZ_CP019893.1_Natrarchaeobaculum_aegyptiacum_strain_JW_NM_HA_15_chromosome__complete_genome	yes	yes
NZ_CP014854.1_Thermococcus_celer_Vu_13___JCM_8558_strain_Vu_13_chromosome__complete_genome	yes	yes
NZ_CP014855.1_Thermococcus_gorgonarius_strain_W_12__complete_genome	yes	yes
NZ_CP015101.1_Thermococcus_barossii_strain_SHCK_94__complete_genome	yes	yes
NZ_CP015102.1_Thermococcus_pacificus_strain_P_4__complete_genome	yes	yes
NZ_CP015103.1_Thermococcus_siculi_strain_RG_20__complete_genome	yes	yes
NZ_CP015105.1_Thermococcus_thioreducens_strain_OGL_20P__complete_genome	yes	yes
NZ_CP014862.1_Thermococcus_profundus_strain_DT_5432_chromosome__complete_genome	yes	yes
NZ_CP015363.1_Ferroplasma_acidiphilum_strain_Y__complete_genome	yes	yes
NZ_CP015193.1_Thermococcus_chitonophagus_strain_GC74_chromosome__complete_genome	yes	yes
NZ_AP017558.1_Halopenitus_persicus_strain_CBA1233	yes	yes
NZ_AP017569.1_Halorubrum_trapanicum_strain_CBA1232	yes	yes
NZ_CP017766.1_Methanobacterium_subterraneum_strain_MO_MB1_chromosome__complete_genome	yes	yes
NZ_CP019154.1_Haloarcula_taiwanensis_strain_Taiwanensis_chromosome_I__complete_sequence	yes	yes
NZ_CP026309.1_Salinigranum_rubrum_strain_GX10_chromosome__complete_genome	yes	yes
NZ_CP025066.1_Halalkaliarchaeum_desulfuricum_strain_AArc_Sl_chromosome__complete_genome	yes	yes
NZ_CP020477.1_Acidianus_manzaensis_strain_YN_25_chromosome__complete_genome	yes	yes
NZ_CP019327.1_Haloterrigena_daqingensis_strain_JX313_chromosome__complete_genome	yes	yes
NZ_CP009515.1_Methanosarcina_lacustris_Z_7289__complete_genome	yes	yes
NZ_CP011266.1_Methanobrevibacter_millerae_strain_SM9__complete_genome	yes	yes
NZ_CP009516.1_Methanosarcina_horonobensis_HB_1___JCM_15518_strain_HB_1_chromosome__complete_genome	yes	yes
NZ_CP009518.1_Methanococcoides_methylutens_MM1__complete_genome	yes	yes
NZ_CP011267.1_Geoglobus_ahangari_strain_234_chromosome__complete_genome	yes	yes
NZ_CP008874.1_Halanaeroarchaeum_sulfurireducens_strain_HSR2_chromosome__complete_genome	yes	yes
NZ_CP011947.1_Haloferax_gibbonsii_strain_ARA6__complete_genome	yes	yes
NZ_CP032683.1_Methanosarcina_flavescens_strain_E03.2_chromosome__complete_genome	yes	yes
NZ_CP013011.1_Pyrodictium_delaneyi_strain_Su06__complete_genome	yes	yes
NZ_CP006867.1_Ignicoccus_islandicus_DSM_13165_chromosome__complete_genome	yes	yes
NZ_CP017921.1_Methanohalophilus_halophilus_strain_Z_7982_chromosome__complete_genome	yes	yes
NZ_LN831302.1_Halobacterium_hubeiense_strain_JI20_1_chromosome_I	yes	yes
NZ_CP014214.1_Methanogenic_archaeon_ISO4_H5_chromosome__complete_genome	yes	yes
NZ_CP014265.1_Methanobrevibacter_olleyae_strain_YLM1_chromosome__complete_genome	yes	yes
NZ_CP010835.1_Pyrococcus_kukulkanii_strain_NCB100_chromosome__complete_genome	yes	yes
NZ_CP014750.1_Thermococcus_peptonophilus_strain_OG_1__complete_genome	yes	yes
NZ_CP015520.1_Thermococcus_piezophilus_strain_CDGS_chromosome__complete_genome	yes	yes
NZ_CP016070.1_Halodesulfurarchaeum_formicicum_strain_HTSR1_chromosome__complete_genome	yes	yes
Ca22chr5A_C_albicans_SC5314_organism_Candida_albicans_SC5314_version_A22_s07_m01_r59_length_1190869_SO_chromosome	yes	yes
Ca22chr4A_C_albicans_SC5314_organism_Candida_albicans_SC5314_version_A22_s07_m01_r59_length_1603259_SO_chromosome	yes	yes
Ca22chr3A_C_albicans_SC5314_organism_Candida_albicans_SC5314_version_A22_s07_m01_r59_length_1799298_SO_chromosome	yes	yes
AP012220.1_Kluyveromyces_marxianus_DMKU3_1042_DNA__complete_genome__chromosome_8	yes	yes
1_FR878060_1_Mycobacterium_africanum_GM041182_complete_genome_BAC	yes	yes
1_GQ866233_1_Aggregatibacter_phage_S1249__complete_sequence_BAC	yes	yes
1_HE572590_1_Mycobacterium_canettii_CIPT_140010059_complete_genome_BAC	yes	yes
1_HE613569_1_Streptococcus_macedonicus_ACA_DC_198_main_chromosome_complete_genome_BAC	yes	yes
1_HE663493_1_Rhodospirillum_photometricum_DSM_122_draft_genome_sequence_BAC	yes	yes
1_HE774682_1_Flavobacterium_indicum_GPTSA100_9_complete_genome_BAC	yes	yes
1_HE804045_1_Saccharothrix_espanaensis_DSM_44229_complete_genome_BAC	yes	yes
1_HF545616_1_Ruminococcus_bicirculans_chromosome_I__complete_genome_BAC	yes	yes
1_HF559394_1_Mycoplasma_cynos_C142_complete_genome_BAC	yes	yes
1_HF680312_1_Thalassolituus_oleivorans_MIL_1_complete_genome_BAC	yes	yes
1_HG794546_1_Magnetospirillum_gryphiswaldense_MSR_1_v2__complete_genome_BAC	yes	yes
